DEPARTAMENTOS, CASOS CONFIRMADOS
9 de Julio, 0
Belgrano, 3
Caseros, 3
Castellanos, 17
Constitución, 5
Garay, 2
General López, 5
General Obligado, 0
Iriondo, 3
La Capital, 28
Las Colonias, 4
Rosario, 65
San Cristóbal, 0
San Javier, 1
San Jerónimo, 8
San Justo, 0
San Lorenzo, 7
San Martín, 0
Vera, 1
